NAME,TYPE,COST,STRENGTH,WEAKNESS,OPPORTUNITIES,THREATS,P_LOW,P_HIGH,YEARLY_LOW,YEARLY_HIGH
Cyient Ltd.,IT Services & Consulting,"2,245.45",Company with high TTM EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2214.15,2249.80,831.50,2458.95
Cyberspace Multimedia Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cyber Media (India) Ltd.,Printing & Publishing,34.85,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,32.25,35.20,12.70,35.40
Cyberspace Infosys Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cyber Media Research and Services Ltd.,TV Broadcasting & Software Production,,Company with high TTM EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,No Opportunity for this stock,No Threat for this stock,152.95,152.95,102.90,231.00
Curefast Remedies Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cupid Trades Ltd.,Trading,16.30,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,16.30,16.30,15.00,167.00
Cupid Ltd.,Miscellaneous,"1,833.00","Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit with falling Profit Margin (YoY),Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,1684.85,1862.15,239.25,2019.90
Cyanamid Agro Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cutfast Abrasive Tools Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
CV Steels Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cyberscape Multimedia Ltd.,Computers - Software Medium & Small,2.90,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.90,2.90,2.70,3.05
Cure Spects Laser Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
CWD Ltd.,Electronic Goods,950.00,Company with Low Debt,Negative Breakdown Second Support (LTP < S2),RSI indicating price strength ,No Threat for this stock,907.00,950.00,532.00,1949.00
Cummins India Ltd.,Auto Ancillaries - Diesel Engines,"2,091.00","Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit (QoQ),Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2076.15,2126.45,1358.40,2126.45
Cvil Infra Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cybele Industries Ltd.,Cables,43.90,"Strong Momentum: Price above short, medium and long term moving averages",Major fall in TTM Net Profit,Turnaround companies- loss to profit QoQ ,No Threat for this stock,40.13,44.00,15.00,49.40
CSJ Technologies Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cuddapah Spinning Mills Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
CUBEINVIT Ltd.,Miscellaneous,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,0.00,100.00
Cubex Tubings Ltd.,Metals - Non Ferrous,71.05,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,69.55,70.60,24.25,74.10
CTR Manufacturing Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Cubical Financial Services Ltd.,Finance - NBFC,1.99,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),RSI indicating price strength ,Red Flag: Large Swings Between Profit and Loss,1.99,1.99,1.19,2.42
Cube Highways Trust,,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,,
Datiware Maritime Infra  Ltd.,Aquaculture,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,2.00,2.00
CT Cotton Yarn Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Datt Mediproducts Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Davangere Sugar Company RE Ltd.,Sugar,35.77,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,35.77,35.77,4.76,35.77
CSL Finance Ltd.,Finance - NBFC,434.70,Company with high TTM EPS Growth,Inefficient use of assets to generate profits - ROA declining in the last 2 years,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,431.65,456.20,189.10,498.00
D & H India Ltd.,Electrodes & Welding Equipment,97.80,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),RSI indicating price strength ,No Threat for this stock,97.00,101.88,52.00,104.99
CTIL Ltd.,Computers - Software Medium & Small,0.63,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.63,0.63,0.46,1.26
DCM Shriram Ltd.,Diversified,"1,020.95",Company with Low Debt,MFs decreased their shareholding last quarter,No Opportunity for this stock,No Threat for this stock,1021.00,1038.80,730.20,1175.00
Dalmia Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Decolight Ceramics Ltd.,Ceramics & Granite,1.15,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.15,1.35,1.15,4.35
Datasoft Application Software (India) Ltd.,Computers - Software Medium & Small,6.83,New 52 Week High,No weakness for this stock,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,6.83,6.83,4.43,6.83
Denmur Fax Roll Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Derco Cooling Coils Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Denmur Fax Roll Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Debock Industries Ltd.,Diversified,,Effectively using its capital to generate profit - RoCE improving in last 2 years,Degrowth in Revenue and Profit,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,9.40,9.70,8.00,25.20
Devhari Exports (India) Ltd.,Trading,0.51,Company with Low Debt,New 52 week Low,No Opportunity for this stock,No Threat for this stock,0.50,0.52,0.50,1.17
Denholm Steels Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Deccan Hospital Corp. Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Delta Leasing and Finance Ltd.,Finance - Leasing & Hire Purchase,2.57,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.57,2.57,2.50,4.88
Dhampur Sugar Mills Ltd.,Sugar,257.40,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,256.20,259.55,202.25,325.75
De Nora India Ltd.,Electrodes & Welding Equipment,"1,500.00",Company with high TTM EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Highest Recovery from 52 Week Low ,No Threat for this stock,1498.50,1545.00,740.15,2336.95
Dhabriya Polywood Ltd.,Plastic Products,361.00,Company with high TTM EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,358.00,367.20,102.45,428.00
Denish-Knit Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Dhenu Buildcon India Ltd.,Trading,2.01,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,Stock with Low PE (PE < = 10) ,No Threat for this stock,2.01,2.01,0.94,2.45
Dhruv Wellness Ltd.,Pharmaceuticals & Drugs,13.56,Strong Annual EPS Growth,New 52 week low today,No Opportunity for this stock,No Threat for this stock,12.28,13.56,12.28,438.90
Dharnendra Agro Food Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Dhani Services - PP Ltd.,,81.80,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,76.45,82.00,62.80,82.00
DGP Securities Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Dhruva Capital Services Ltd.,Finance - NBFC,283.55,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Highest Recovery from 52 Week Low ,No Threat for this stock,0.00,0.00,29.60,278.00
Divinus Fabrics Ltd.,Trading,6.20,Company with No Debt,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,6.20,6.84,6.20,38.00
Divine Multimedia (India) Ltd.,Media & Entertainment,0.40,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.40,0.40,0.38,1.00
Dhanuka Agritech Ltd.,Pesticides & Agrochemicals,"1,175.25","Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,1166.10,1198.65,609.05,1298.00
Dhanleela Investments & Trading Company Ltd.,Finance - Investment,77.50,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,31.00,31.00,55.88,80.50
Dishman Pharmaceuticals & Chemicals Ltd.,Pharmaceuticals,301.05,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,278.10,304.30,203.40,346.25
Divine Entertainment Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Divgi Torqtransfer Systems Ltd.,Engineering,972.00,Company with Low Debt,MFs decreased their shareholding last quarter,Street Favorite: High Analyst Rating with at least 20% upside ,No Threat for this stock,965.55,1005.25,560.00,1150.00
Dishman Carbogen Amcis Ltd.,Pharmaceuticals & Drugs,188.15,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Highest Recovery from 52 Week Low ,Red Flag: Large Swings Between Profit and Loss,186.35,191.95,80.00,205.50
Disposable Medi - Aids Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
DSP Nifty Bank ETF,ETF,46.48,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,46.11,48.03,35.90,51.00
Divyashakti Ltd.,Ceramics/Marble/Granite/Sanitaryware,77.10,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,No Opportunity for this stock,No Threat for this stock,77.05,79.00,60.25,87.00
Domino Leather Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
DSPGOLDETF Ltd.,Miscellaneous,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,61.00,62.15,0.00,65.51
DLF Ltd.,Construction - Residential & Commercial Complexes,772.20,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Second Support (LTP < S2),Brokers upgraded recommendation or target price in the past three months ,Red Flags: Firms linked to ongoing regulatory investigations/legal cases,769.00,788.55,336.50,815.75
DPSC Ltd.,Power Generation/Distribution,,Growth in Net Profit with increasing Profit Margin (QoQ),Red Flag: High Interest Payments Compared to Earnings,Highest Recovery from 52 Week Low ,No Threat for this stock,18.80,19.10,9.10,27.85
